dataType,metadata_generatedAt,metadata_generatedBy,metadata_logFileName,metadata_schemaVersion,metadata_RSUID,metadata_kind,metadata_psid,metadata_bsmSource,metadata_externalID,coreData_msgCnt,coreData_id,coreData_secMark,coreData_position_lat,coreData_position_long,coreData_elevation,coreData_accelset_accelYaw,coreData_accelset_lat,coreData_accelset_long,coreData_accelset_vert,coreData_angle,coreData_accuracy_orientation,coreData_accuracy_semiMajor,coreData_accuracy_semiMinor,coreData_transmission,coreData_speed,coreData_heading,coreData_brakes_wheelBrakes_leftFront,coreData_brakes_wheelBrakes_rightFront,coreData_brakes_wheelBrakes_unavailable,coreData_brakes_wheelBrakes_leftRear,coreData_brakes_wheelBrakes_rightRear,coreData_brakes_traction,coreData_brakes_abs,coreData_brakes_scs,coreData_brakes_brakeBoost,coreData_brakes_auxBrakes,coreData_size,part2_suve_classification,part2_suve_cd_hpmstype,part2_suve_cd_role,part2_suve_vd_height,part2_suve_vd_mass,part2_suve_vd_bumpers_front,part2_suve_vd_bumpers_rear,part2_vse_events,part2_vse_ph_crumbdata,part2_vse_pp_confidence,part2_vse_pp_radiusofcurve,part2_vse_lights,coreData_position,randomNum,metadata_generatedAt_timeOfDay
bsm,3/19/2021 0:46,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,10,8690389,27300,"279,496,637","-824,491,766",-194,2,6,-22,49,127,"26,226",18,13,unavailable,2,"6,762",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4491766 27.9496637),0.365628214,0.774166667
bsm,3/19/2021 0:20,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,107,8690389,3549,"279,505,253","-824,477,983",-248,55,0,-57,50,127,"17,610",14,14,unavailable,494,"7,288",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4477983 27.9505253),0.616779866,0.334166667
bsm,3/19/2021 0:19,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,62,8690389,46249,"279,511,921","-824,490,646",-228,-3,-6,27,49,127,"19,182",14,13,unavailable,566,"13,488",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4490646 27.9511921),0.247000253,0.329444444
bsm,3/19/2021 0:20,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,127,8690389,5549,"279,505,237","-824,476,043",-249,198,41,27,49,127,"16,399",14,14,unavailable,482,"7,239",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4476043 27.9505237),0.392911745,0.334722222
bsm,3/19/2021 0:47,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,56,8690389,23100,"279,496,789","-824,491,565",-209,0,5,-26,49,127,"26,979",13,10,unavailable,0,"6,762",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4491565 27.9496789),0.800758378,0.789722222
bsm,3/19/2021 0:19,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,64,8690389,33699,"279,522,498","-824,491,146",-222,"-2,305",-214,-64,48,127,"21,791",14,13,unavailable,270,"17,077",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4491146 27.9522498),0.887542744,0.325833333
bsm,3/19/2021 0:48,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,43,8690389,200,"279,513,453","-824,489,229",-223,-17,-20,-9,48,127,"23,879",15,12,unavailable,555,"28,449",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4489229 27.9513453),0.918642847,0.8
bsm,3/19/2021 0:47,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,125,8690389,42850,"279,497,521","-824,489,038",-221,"-1,389",-182,50,50,127,"26,645",13,10,unavailable,323,"4,247",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4489038 27.9497521),0.247029725,0.795
bsm,3/19/2021 0:20,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,48,8690389,10449,"279,505,199","-824,470,954",-259,-125,-46,9,50,127,"14,801",15,14,unavailable,557,"7,240",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4470954 27.9505199),0.109107834,0.336111111
bsm,3/19/2021 0:47,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,102,8690389,2150,"279,496,739","-824,491,606",-203,-2,6,-24,49,127,"26,835",14,11,unavailable,1,"6,762",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4491606 27.9496739),0.591931579,0.783888889
bsm,3/19/2021 0:46,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,31,8690389,29450,"279,496,636","-824,491,759",-195,-1,5,-24,49,127,"26,301",18,13,unavailable,2,"6,762",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4491759 27.9496636),0.855633928,0.774722222
bsm,3/19/2021 0:47,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,73,8690389,24800,"279,496,791","-824,491,560",-209,-1,3,-26,49,127,"27,012",13,10,unavailable,0,"6,762",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.449156 27.9496791),0.875457265,0.79
